scheduling_type,resolution,iterations,threads,execution_time_ms,speedup,efficiency_percent,run_type
static,1000,1000,64,1251.091,10.581,10.0,comprehensive
static,1000,1000,32,1309.847,10.106,30.0,comprehensive
static,1000,1000,24,1599.341,8.277,30.0,comprehensive
static,1000,1000,16,1971.871,6.713,40.0,comprehensive
static,1000,1000,8,3415.129,3.876,40.0,comprehensive
static,1000,1000,4,5540.173,2.389,50.0,comprehensive
static,1000,1000,2,6701.481,1.975,90.0,comprehensive
static,1000,1000,1,13236.358,1.000,100.0,comprehensive
static,1000,3000,64,3063.689,12.620,10.0,comprehensive
static,1000,3000,32,3612.043,10.704,30.0,comprehensive
static,1000,3000,24,4269.936,9.055,30.0,comprehensive
static,1000,3000,16,5518.665,7.006,40.0,comprehensive
static,1000,3000,8,9862.450,3.920,40.0,comprehensive
static,1000,3000,4,16134.048,2.396,50.0,comprehensive
static,1000,3000,2,19430.079,1.990,90.0,comprehensive
static,1000,3000,1,38667.014,.999,90.0,comprehensive
static,1000,5000,64,5104.461,12.553,10.0,comprehensive
static,1000,5000,32,5782.580,11.081,30.0,comprehensive
static,1000,5000,24,6679.197,9.593,30.0,comprehensive
static,1000,5000,16,8882.324,7.214,40.0,comprehensive
static,1000,5000,8,16244.385,3.944,40.0,comprehensive
static,1000,5000,4,26719.621,2.398,50.0,comprehensive
static,1000,5000,2,32148.451,1.993,90.0,comprehensive
static,1000,5000,1,64080.731,.999,90.0,comprehensive
static,2000,1000,64,4732.257,11.185,10.0,comprehensive
static,2000,1000,32,5269.946,10.044,30.0,comprehensive
static,2000,1000,24,6103.743,8.672,30.0,comprehensive
static,2000,1000,16,7688.919,6.884,40.0,comprehensive
static,2000,1000,8,13598.758,3.892,40.0,comprehensive
static,2000,1000,4,22132.210,2.391,50.0,comprehensive
static,2000,1000,2,26765.954,1.977,90.0,comprehensive
static,2000,1000,1,52933.081,1.000,100.0,comprehensive
static,2000,3000,64,11847.691,13.054,20.0,comprehensive
static,2000,3000,32,14408.295,10.734,30.0,comprehensive
static,2000,3000,24,15960.927,9.690,40.0,comprehensive
static,2000,3000,16,21616.384,7.154,40.0,comprehensive
static,2000,3000,8,39353.296,3.930,40.0,comprehensive
static,2000,3000,4,64503.222,2.397,50.0,comprehensive
static,2000,3000,2,77651.975,1.991,90.0,comprehensive
static,2000,3000,1,154662.927,.999,90.0,comprehensive
static,2000,5000,64,20054.121,12.781,10.0,comprehensive
static,2000,5000,32,23339.337,10.982,30.0,comprehensive
static,2000,5000,24,27817.826,9.214,30.0,comprehensive
static,2000,5000,16,35853.432,7.149,40.0,comprehensive
static,2000,5000,8,64933.377,3.947,40.0,comprehensive
static,2000,5000,4,106835.961,2.399,50.0,comprehensive
static,2000,5000,2,128515.173,1.994,90.0,comprehensive
static,2000,5000,1,256316.366,.999,90.0,comprehensive
static,3000,1000,64,10157.414,11.725,10.0,comprehensive
static,3000,1000,32,11721.232,10.161,30.0,comprehensive
static,3000,1000,24,13029.489,9.141,30.0,comprehensive
static,3000,1000,16,17371.615,6.856,40.0,comprehensive
static,3000,1000,8,30574.543,3.895,40.0,comprehensive
static,3000,1000,4,49803.900,2.391,50.0,comprehensive
static,3000,1000,2,60205.393,1.978,90.0,comprehensive
static,3000,1000,1,119094.183,1.000,100.0,comprehensive
static,3000,3000,64,27198.109,12.795,10.0,comprehensive
static,3000,3000,32,31859.259,10.923,30.0,comprehensive
static,3000,3000,24,36868.072,9.439,30.0,comprehensive
static,3000,3000,16,48145.225,7.228,40.0,comprehensive
static,3000,3000,8,88393.841,3.937,40.0,comprehensive
static,3000,3000,4,145091.351,2.398,50.0,comprehensive
static,3000,3000,2,174692.274,1.992,90.0,comprehensive
static,3000,3000,1,347989.472,1.000,100.0,comprehensive
static,3000,5000,64,44127.284,13.069,20.0,comprehensive
static,3000,5000,32,52791.498,10.924,30.0,comprehensive
static,3000,5000,24,58777.620,9.812,40.0,comprehensive
static,3000,5000,16,80098.141,7.200,40.0,comprehensive
static,3000,5000,8,146091.016,3.947,40.0,comprehensive
static,3000,5000,4,240360.653,2.399,50.0,comprehensive
static,3000,5000,2,289067.719,1.995,90.0,comprehensive
static,3000,5000,1,576737.399,.999,90.0,comprehensive
dynamic,1000,1000,64,1075.258,12.312,10.0,specific
dynamic,1000,1000,32,1066.486,12.414,30.0,specific
dynamic,1000,1000,24,1066.787,12.410,50.0,specific
dynamic,1000,1000,16,1150.071,11.511,70.0,specific
dynamic,1000,1000,8,1822.279,7.265,90.0,specific
dynamic,1000,1000,4,3439.033,3.849,90.0,specific
dynamic,1000,1000,2,6724.932,1.968,90.0,specific
dynamic,1000,1000,1,13239.425,.999,90.0,specific
dynamic,2000,1000,64,4216.859,12.553,10.0,specific
dynamic,2000,1000,32,4220.925,12.541,30.0,specific
dynamic,2000,1000,24,4219.152,12.546,50.0,specific
dynamic,2000,1000,16,4580.181,11.557,70.0,specific
dynamic,2000,1000,8,7270.208,7.281,90.0,specific
dynamic,2000,1000,4,13726.304,3.856,90.0,specific
dynamic,2000,1000,2,26873.108,1.969,90.0,specific
dynamic,2000,1000,1,52934.739,1.000,100.0,specific
dynamic,3000,1000,64,9476.620,12.569,10.0,specific
dynamic,3000,1000,32,9496.004,12.544,30.0,specific
dynamic,3000,1000,24,9460.315,12.591,50.0,specific
dynamic,3000,1000,16,10280.359,11.586,70.0,specific
dynamic,3000,1000,8,16291.613,7.311,90.0,specific
dynamic,3000,1000,4,30876.515,3.857,90.0,specific
dynamic,3000,1000,2,60506.364,1.968,90.0,specific
dynamic,3000,1000,1,119113.241,1.000,100.0,specific
dynamic,1000,3000,64,2834.747,13.640,20.0,specific
dynamic,1000,3000,32,2848.218,13.575,40.0,specific
dynamic,1000,3000,24,2828.660,13.669,50.0,specific
dynamic,1000,3000,16,3082.357,12.544,70.0,specific
